bloque,status_anterior,status_nuevo,motivo,fecha
SUE_70,pending,ATENCIÓN COMENTARIOS,Reclasificación nuevo alcance PVRC24-021,2026-04-01
SUE_72,approved,ATENCIÓN COMENTARIOS,Reclasificación nuevo alcance PVRC24-021,2026-04-01
SUE_73,approved,ATENCIÓN COMENTARIOS,Reclasificación nuevo alcance PVRC24-021,2026-04-01
SUE_74,pending,ATENCIÓN COMENTARIOS,Reclasificación nuevo alcance PVRC24-021,2026-04-01
SUE_75,pending,ATENCIÓN COMENTARIOS,Reclasificación nuevo alcance PVRC24-021,2026-04-01
SUE_78,approved,LIBERADO,Reclasificación nuevo alcance PVRC24-021,2026-04-01
SUE_80,approved,ATENCIÓN COMENTARIOS,Reclasificación nuevo alcance PVRC24-021,2026-04-01
SUE_81,approved,ATENCIÓN COMENTARIOS,Reclasificación nuevo alcance PVRC24-021,2026-04-01
SUE_86,approved,ATENCIÓN COMENTARIOS,Reclasificación nuevo alcance PVRC24-021,2026-04-01
SUE_87,approved,ATENCIÓN COMENTARIOS,Reclasificación nuevo alcance PVRC24-021,2026-04-01
SUE_88,pending,ATENCIÓN COMENTARIOS,Reclasificación nuevo alcance PVRC24-021,2026-04-01
SUE_89,approved,ATENCIÓN COMENTARIOS,Reclasificación nuevo alcance PVRC24-021,2026-04-01
SUE_91,approved,LIBERADO,Reclasificación nuevo alcance PVRC24-021,2026-04-01
SUE_94,pending,ATENCIÓN COMENTARIOS,Reclasificación nuevo alcance PVRC24-021,2026-04-01
SUE_95,pending,ATENCIÓN COMENTARIOS,Reclasificación nuevo alcance PVRC24-021,2026-04-01
SUE_96,pending,ATENCIÓN COMENTARIOS,Reclasificación nuevo alcance PVRC24-021,2026-04-01
